match_id,match_date,league,home_team,away_team,result,prediction,confidence,correct,home_probability,draw_probability,away_probability,confidence_bucket
708,2025-04-19 14:00:00,Premier League,West Ham,Southampton,DRAW,HOME,43.43075417218092,False,43.43075417218092,26.917475329749795,29.65177049806929,40-44.9
318,2025-04-19 14:15:00,La Liga,Barcelona,Celta Vigo,HOME,HOME,62.09821145624299,True,62.09821145624299,23.35445357312995,14.547334970627054,60-69.9
1088,2025-04-19 16:00:00,Serie A,Monza,Napoli,AWAY,AWAY,52.34690946572347,True,21.997044829298577,25.656045704977952,52.34690946572347,50-54.9
319,2025-04-19 16:30:00,La Liga,Mallorca,Leganes,DRAW,HOME,50.18337344522566,False,50.18337344522566,27.199547463836726,22.617079090937608,50-54.9
711,2025-04-19 16:30:00,Premier League,Aston Villa,Newcastle,HOME,AWAY,45.92193206897836,False,28.984181815560312,25.093886115461313,45.92193206897836,45-49.9
1413,2025-04-19 16:30:00,Bundesliga,Union Berlin,VfB Stuttgart,DRAW,HOME,41.882941318949115,False,41.882941318949115,28.02464888703297,30.092409794017914,40-44.9
1089,2025-04-19 18:45:00,Serie A,AS Roma,Hellas Verona,HOME,HOME,42.7198308676342,True,42.7198308676342,36.549710834265866,20.730458298099926,40-44.9
320,2025-04-19 19:00:00,La Liga,Las Palmas,Atletico Madrid,HOME,HOME,43.72004070039282,True,43.72004070039282,23.63021146083661,32.64974783877057,40-44.9
321,2025-04-20 12:00:00,La Liga,Valladolid,Osasuna,AWAY,AWAY,38.42836726369518,True,36.49580725597827,25.075825480326554,38.42836726369518,35-39.9
712,2025-04-20 13:00:00,Premier League,Manchester United,Wolves,AWAY,AWAY,44.977368719781495,True,28.98038790270338,26.042243377515128,44.977368719781495,40-44.9
713,2025-04-20 13:00:00,Premier League,Fulham,Chelsea,AWAY,HOME,37.20589420107811,False,37.20589420107811,29.2127978435444,33.58130795537749,35-39.9
714,2025-04-20 13:00:00,Premier League,Ipswich,Arsenal,AWAY,AWAY,41.574424459741124,True,32.646692189203904,25.778883351054976,41.574424459741124,40-44.9
1090,2025-04-20 13:00:00,Serie A,Empoli,Venezia,DRAW,AWAY,38.66101906109872,False,26.93495480343662,34.40402613546465,38.66101906109872,35-39.9
1414,2025-04-20 13:30:00,Bundesliga,FC Augsburg,Eintracht Frankfurt,DRAW,HOME,38.98068316403345,False,38.98068316403345,28.452936884592216,32.56637995137434,35-39.9
322,2025-04-20 14:15:00,La Liga,Villarreal,Real Sociedad,DRAW,HOME,44.213566418670155,False,44.213566418670155,28.44937787522106,27.337055706108774,40-44.9
715,2025-04-20 15:30:00,Premier League,Leicester,Liverpool,AWAY,AWAY,58.15368217646258,True,19.63517864088353,22.211139182653884,58.15368217646258,55-59.9
1415,2025-04-20 15:30:00,Bundesliga,Borussia Dortmund,Borussia Mönchengladbach,HOME,HOME,43.69053253331284,True,43.69053253331284,24.157876048192573,32.15159141849458,40-44.9
1091,2025-04-20 16:00:00,Serie A,Bologna,Inter,HOME,HOME,40.26842504781542,True,40.26842504781542,27.979062338257194,31.75251261392738,40-44.9
323,2025-04-20 16:30:00,La Liga,Sevilla,Alaves,DRAW,HOME,37.71324722392389,False,37.71324722392389,30.095685906975874,32.19106686910023,35-39.9
1416,2025-04-20 17:30:00,Bundesliga,FC St. Pauli,Bayer Leverkusen,DRAW,HOME,40.14659204555844,False,40.14659204555844,26.248094405993,33.605313548448564,40-44.9
1092,2025-04-20 18:45:00,Serie A,AC Milan,Atalanta,AWAY,HOME,46.69848809269992,False,46.69848809269992,28.381672533429352,24.919839373870733,45-49.9
324,2025-04-20 19:00:00,La Liga,Real Madrid,Athletic Club,HOME,HOME,50.02217895065929,True,50.02217895065929,28.679737516055443,21.29808353328526,50-54.9
325,2025-04-21 19:00:00,La Liga,Girona,Real Betis,AWAY,AWAY,41.86160743160183,True,32.763095540443786,25.375297027954385,41.86160743160183,40-44.9
716,2025-04-21 19:00:00,Premier League,Tottenham,Nottingham Forest,AWAY,AWAY,42.24939896737292,True,32.69693320965309,25.053667822973992,42.24939896737292,40-44.9
326,2025-04-22 17:00:00,La Liga,Valencia,Espanyol,DRAW,HOME,39.88503564952215,False,39.88503564952215,30.765802890006444,29.3491614604714,35-39.9
717,2025-04-22 19:00:00,Premier League,Manchester City,Aston Villa,HOME,AWAY,41.138738791020735,False,33.05614508377874,25.805116125200534,41.138738791020735,40-44.9
327,2025-04-22 19:30:00,La Liga,Barcelona,Mallorca,HOME,HOME,59.694321712872025,True,59.694321712872025,24.661325681724925,15.644352605403054,55-59.9
1095,2025-04-23 16:30:00,Serie A,Torino,Udinese,HOME,HOME,48.29787850986039,True,48.29787850986039,31.422971206000618,20.279150284139007,45-49.9
1096,2025-04-23 16:30:00,Serie A,Parma,Juventus,HOME,HOME,47.33355913699206,True,47.33355913699206,29.786350674425854,22.88009018858208,45-49.9
1093,2025-04-23 16:30:00,Serie A,Cagliari,Fiorentina,AWAY,AWAY,37.67585878222114,True,30.81745755280199,31.506683664976865,37.67585878222114,35-39.9
1094,2025-04-23 16:30:00,Serie A,Genoa,Lazio,AWAY,HOME,46.94554885426392,False,46.94554885426392,32.57859215322817,20.475858992507902,45-49.9
328,2025-04-23 17:00:00,La Liga,Athletic Club,Las Palmas,HOME,HOME,43.07307877857936,True,43.07307877857936,30.17180573432236,26.755115487098287,40-44.9
329,2025-04-23 17:00:00,La Liga,Celta Vigo,Villarreal,HOME,HOME,44.704464369132545,True,44.704464369132545,26.377409048113854,28.91812658275361,40-44.9
718,2025-04-23 19:00:00,Premier League,Arsenal,Crystal Palace,DRAW,HOME,62.84937875582638,False,62.84937875582638,23.47788004403306,13.672741200140562,60-69.9
330,2025-04-23 19:30:00,La Liga,Alaves,Real Sociedad,HOME,HOME,38.486591523937385,True,38.486591523937385,27.05241337992179,34.46099509614083,35-39.9
331,2025-04-23 19:30:00,La Liga,Getafe,Real Madrid,AWAY,HOME,43.08279503788567,False,43.08279503788567,25.522288253256725,31.394916708857618,40-44.9
332,2025-04-24 17:00:00,La Liga,Leganes,Girona,DRAW,HOME,48.039993040678496,False,48.039993040678496,25.72816133376582,26.23184562555567,45-49.9
333,2025-04-24 17:00:00,La Liga,Osasuna,Sevilla,HOME,HOME,50.409385466247045,True,50.409385466247045,28.56290128916108,21.02771324459188,50-54.9
334,2025-04-24 19:30:00,La Liga,Atletico Madrid,Rayo Vallecano,HOME,HOME,56.5289458868953,True,56.5289458868953,22.690911276932585,20.780142836172118,55-59.9
335,2025-04-24 19:30:00,La Liga,Real Betis,Valladolid,HOME,HOME,68.55711939136172,True,68.55711939136172,19.814595669701937,11.628284938936348,60-69.9
1417,2025-04-25 18:30:00,Bundesliga,VfB Stuttgart,1. FC Heidenheim,AWAY,HOME,53.135538198799146,False,53.135538198799146,20.667425538087752,26.197036263113098,50-54.9
719,2025-04-26 11:30:00,Premier League,Chelsea,Everton,HOME,HOME,42.10628535774323,True,42.10628535774323,32.048381712224106,25.845332930032654,40-44.9
1418,2025-04-26 13:30:00,Bundesliga,Bayern München,FSV Mainz 05,HOME,HOME,60.599989806142375,True,60.599989806142375,21.60464161715509,17.795368576702533,60-69.9
1419,2025-04-26 13:30:00,Bundesliga,VfL Wolfsburg,SC Freiburg,AWAY,AWAY,44.01538110197907,True,33.02277329903226,22.961845598988674,44.01538110197907,40-44.9
1420,2025-04-26 13:30:00,Bundesliga,1899 Hoffenheim,Borussia Dortmund,AWAY,AWAY,49.417019544555366,True,28.60701274614706,21.975967709297574,49.417019544555366,45-49.9
1421,2025-04-26 13:30:00,Bundesliga,Bayer Leverkusen,FC Augsburg,HOME,HOME,49.72157701844927,True,49.72157701844927,27.174937350813945,23.10348563073679,45-49.9
1422,2025-04-26 13:30:00,Bundesliga,Holstein Kiel,Borussia Mönchengladbach,HOME,AWAY,49.800924308382434,False,27.413558686300103,22.78551700531746,49.800924308382434,45-49.9
720,2025-04-26 14:00:00,Premier League,Newcastle,Ipswich,HOME,HOME,68.94763536936193,True,68.94763536936193,18.333231903759653,12.719132726878401,60-69.9
721,2025-04-26 14:00:00,Premier League,Wolves,Leicester,HOME,HOME,68.63690249018538,True,68.63690249018538,22.487166595146764,8.875930914667851,60-69.9
722,2025-04-26 14:00:00,Premier League,Southampton,Fulham,AWAY,AWAY,46.041652355529195,True,28.702165635445937,25.25618200902487,46.041652355529195,45-49.9
723,2025-04-26 14:00:00,Premier League,Brighton,West Ham,HOME,AWAY,42.26988029367842,False,33.63886245863259,24.091257247689008,42.26988029367842,40-44.9
1423,2025-04-26 16:30:00,Bundesliga,Eintracht Frankfurt,RB Leipzig,HOME,HOME,39.175208997781816,True,39.175208997781816,28.25566056412592,32.56913043809225,35-39.9
1098,2025-04-27 10:30:00,Serie A,Como,Genoa,HOME,HOME,49.76166939710815,True,49.76166939710815,31.20510762244636,19.033222980445487,45-49.9
